player_id,games_played,total_minutes,total_points,fg_att,fg_made,three_att,three_made,free_att,free_made,off_rebound,def_rebound,assists,steals,blocks,turnovers
273,40,8.6,2.5,2.3,1,0.8,0.3,0.2,0.2,0.1,0.7,0.9,0.5,0.1,0.4
274,59,27,12.7,11.3,4.6,5.2,1.9,1.9,1.5,0.3,3.2,1.6,0.6,0.2,1.1
275,81,33.9,14,7.7,5.1,0,0,5.9,3.8,3.9,8.9,1.2,0.6,2.6,1.8
276,55,21.9,7.8,6.9,3.1,2.2,0.7,1.4,1,0.4,1.9,2.8,0.8,0.1,1.6
277,71,16.3,6.2,6.2,2.2,2.9,0.9,1.1,0.8,0.7,2.6,1,0.4,0.3,0.9
278,18,7.5,3.5,3,1.3,0.8,0.2,1.1,0.8,0.5,1.3,0.4,0.4,0.4,0.4
279,82,37.2,23.6,19.1,8.6,3.5,1.3,6.6,5,1.2,2.8,2.3,1,0.4,2.3
280,47,21.9,4.2,4,1.5,2.4,0.9,0.4,0.3,0.3,1.8,1,0.5,0.5,0.6
281,62,8.6,1.7,1.4,0.7,0,0,0.4,0.2,0.8,1.7,0.4,0.4,0.4,0.3
282,82,32.4,10,8.1,4,0.5,0.2,2,1.7,2.3,5.6,1.9,1.1,1.2,1.3
283,5,2.1,0.4,0.8,0.2,0.2,0,0,0,0,0,0.2,0.4,0,0
284,7,6.7,1.7,1.9,0.7,0,0,0.3,0.3,1.1,0.9,0,0.1,0,0.6
285,82,37,25.1,18,9.8,3.4,1.2,5.2,4.3,3.6,8.7,2.7,0.7,1.3,2.6
286,78,17.1,3.8,4,1.5,0.9,0.3,0.8,0.5,0.3,1.8,2.4,1,0.5,1.1
287,65,18.3,6.2,5.5,2.3,2.7,0.9,0.9,0.7,0.9,2.9,1.2,0.6,0.3,0.9
288,75,32.9,11.1,8.7,3.5,2.6,0.8,3.8,3.4,0.9,3.2,9.1,1.7,0.1,2.6
289,78,19.4,9.9,7.7,3.7,1.9,0.6,2.4,1.9,1.1,1.7,0.4,0.3,0.1,0.7
290,60,12.9,3.5,3,1.3,1.2,0.4,0.7,0.6,0.2,1,2.6,0.8,0.1,0.6
291,47,37.2,18.9,15.1,6.9,6.6,2.6,3,2.5,0.4,3,3,0.9,0.2,1.8
292,14,6.6,1.3,1,0.4,0,0,0.8,0.6,0.9,1.1,0.7,0.2,0.2,0.6
293,76,26.3,7.6,5.5,2.9,2.3,0.8,1.3,0.9,0.7,3.3,3.4,1,0.5,0.8
294,7,6.6,1.7,2,0.7,0.4,0,0.4,0.3,0,0.6,0.7,0.4,0.1,0.4
295,10,8.5,1.9,1.6,0.8,0,0,1,0.3,0.9,1.4,0,0.1,0.4,0.6
296,68,12.6,4.6,3.7,2,0.1,0,0.8,0.6,0.7,2.3,2.2,0.6,0.7,1.1
297,76,32.5,10.2,8.6,3.6,3.5,1.1,2.8,2,1.3,6.6,7,2,1.4,2.4
298,77,14.8,6.8,5.6,2.7,2.1,0.8,0.8,0.6,0.3,1.3,1.2,0.5,0.1,0.7
299,77,9.6,6.1,4.1,2.7,0,0,1.4,0.7,1.3,1.9,0.2,0.2,0.9,0.5
300,52,8.8,2.8,2.3,1.2,0.2,0,0.8,0.4,0.7,1.1,0.3,0.3,0.6,0.4
301,62,33.4,25.1,16.5,8.9,5,1.9,6.2,5.4,0.6,7.6,4.8,1.1,1.6,2.2
302,53,8.4,2.5,2,1.1,0.2,0,0.6,0.4,0.8,1.5,0.5,0.3,0.3,0.3
303,78,34,22.3,17.6,8.3,8.3,3.4,2.8,2.4,0.6,3,2.1,0.8,0.5,1.6
304,71,15.1,4,3.5,1.5,1.7,0.6,0.5,0.4,0.3,1.1,1.1,0.5,0.2,0.5
305,76,17.7,5.1,4.2,2.3,0,0,0.8,0.6,0.4,1.6,1.8,0.5,0.3,0.8
306,79,33.4,25.3,18.3,8.5,10,4.1,4.6,4.1,0.8,3.7,6.6,1.8,0.2,3
307,70,18.1,6.1,4.4,2.3,0,0,1.8,1.4,2,3.9,1.9,0.8,0.5,1.2
308,30,10.3,2.9,2.7,1,1.5,0.5,0.5,0.4,0.1,0.7,0.4,0.1,0,0.2
309,74,27.8,12,9.9,4.4,4,1.5,2.6,1.8,0.3,1.9,2.8,0.6,0.1,1.6
310,61,34,21.6,15.9,7.9,1.9,0.6,6.9,5.2,1.8,6.3,4.9,0.9,0.4,2.3
311,52,11.1,5.6,3.6,2.1,0.1,0,1.7,1.5,0.8,1.7,0.4,0.3,0.2,0.6
312,3,3.1,1.3,2.3,0.7,0,0,0,0,0.3,0.7,0.3,0.7,0.3,0.3
313,61,31.5,18.1,12.9,6.1,5,2,4.3,3.8,0.7,4.3,9.2,2,0.1,2.4
314,81,31.7,12.7,7.1,5.1,0,0,5.2,2.5,3.7,10.1,1.2,0.6,1.7,1.4
315,7,3.5,1.4,1.9,0.4,0,0,0.6,0.6,0.1,0.7,0,0,0.1,0.3
316,78,28.2,15,11.4,5.1,6,2.6,2.6,2.3,0.1,2.1,1.4,0.7,0.2,1.3
317,82,26.3,12.3,10.6,4.4,3.9,1.4,2.5,2.1,0.2,1.4,2.6,0.7,0.2,1.6
318,80,22.3,6.1,4.7,2.4,1.4,0.5,1.1,0.7,0.6,1.6,0.5,1,0.4,0.6
319,82,15.7,8.7,6.7,3,3.4,1.3,1.7,1.5,1.1,3.5,0.8,0.3,0.5,0.8
320,25,11.1,3.2,2.8,1.1,1.7,0.6,0.5,0.4,0,1.9,0.4,0.2,0.2,0.6
321,80,21.2,6.7,6.4,2.8,1.8,0.6,0.8,0.6,0.4,2.3,2.4,0.8,0.3,1
322,68,11.9,2.7,2.9,1.1,1.7,0.4,0.3,0.2,0.4,2.3,0.3,0.4,0.4,0.3
323,79,28.9,9.4,8.7,3.5,2.4,0.7,2.7,1.7,0.8,3.2,2.1,0.6,0.5,1.5
324,63,28.7,15.6,13.8,5.6,6.1,2.1,3,2.3,0.5,3,4.8,1.4,0.3,2.8
325,20,19.9,6,4.1,2.4,0.3,0.1,2,1.3,0.9,2.3,0.7,0.7,0.4,0.6
326,38,16,7.5,6.3,3.3,0.1,0,1.3,0.8,1.1,3.1,0.8,0.4,0.9,0.8
327,82,29.2,14.7,13.1,5.8,4.3,1.4,2,1.6,0.6,2.4,2.6,1.1,0.1,2
328,24,12.2,3.3,3.2,1.3,1.4,0.5,0.2,0.2,0.3,1.4,2.1,0.3,0,1.1
329,74,28.8,13.2,10.4,5.1,0.9,0.2,3.8,2.8,2,6.6,3.6,0.7,0.5,2.3
330,63,22.9,7.1,5.7,3,0.6,0.2,1.3,0.9,1.9,4,1.5,1.3,0.6,0.9
331,56,26.5,7.6,7.6,2.9,2.9,0.9,1.1,0.8,1.1,4.1,1.3,0.9,0.4,0.8
332,23,10.3,2.7,3,1.1,0.8,0.2,0.7,0.4,0.1,1,2.3,0.4,0.1,0.8
333,25,6.4,2.3,2.7,0.8,1.5,0.4,0.6,0.4,0.2,0.6,0.4,0.4,0.1,0.3
334,60,25.9,13.2,10.6,4.5,7,2.8,1.5,1.3,0.4,1.9,1,0.6,0.2,0.6
335,67,16.3,5.7,4.4,2.2,0,0,1.6,1.2,2.1,3,0.6,0.4,0.7,0.9
336,48,11.7,5,4.1,2.2,0,0,1.4,0.6,1.8,2.9,0.6,0.5,0.2,1
337,54,20.4,7.4,6.1,3.1,0,0,1.4,1.2,1.9,3,0.8,0.3,0.6,1.3
338,47,15.1,7.4,5.7,2.9,0,0,2.4,1.5,2,4.2,0.5,0.6,0.7,0.8
339,77,20.3,8,6,3,0.2,0,2.7,1.9,2,4.6,0.6,0.5,1.3,1.3
340,54,21.1,11,9.7,3.9,2.6,0.8,2.9,2.4,0.5,1.7,2.4,0.5,0.1,1.6
341,32,17,5.3,3.8,2.1,0.3,0.1,1.3,0.9,1.2,1.3,0.4,0.4,0.4,0.4
342,78,35,22.1,18.3,7.8,5.2,1.9,5.7,4.7,0.6,2.6,3.4,0.9,0.3,3.1
343,43,13.3,3.4,3.7,1.3,2.3,0.7,0.3,0.1,0.5,1.9,0.5,0.2,0.5,0.7
344,2,11.6,1.5,3.5,0.5,1,0,1,0.5,1.5,1.5,0.5,0,0,1
345,66,33,21.1,15.7,6.8,4.7,1.6,6.9,5.9,0.8,4.1,6.3,1.4,0.5,3.4
346,64,21.3,6.8,5.4,2.5,3.2,1.2,1,0.7,0.5,3,1.9,0.7,0.3,1.1
347,5,12.5,4.8,3.8,1.2,3.2,0.8,1.8,1.6,0.2,1.2,0,0.2,0,0.2
348,4,3.2,1.8,1.3,0.5,0.5,0.3,0.5,0.5,0,0.3,0.3,0,0,0
349,67,14.4,6.3,5.9,2.6,1.5,0.5,0.7,0.6,0.2,1.3,1.2,0.5,0.1,0.7
